name	ena_id	assay_name	lab	lab_code	pop	kgp_phase1	kgp_phase3
HG00129	ERR188412	HG00129.4.M_120208_8	ICMB	4	GBR	1	1
HG00130	ERR188443	HG00130.5.M_120131_7	HMGU	5	GBR	1	1
HG00131	ERR188403	HG00131.2.M_111215_5	CNAG_CRG	2	GBR	1	1
HG00132	ERR188430	HG00132.2.M_111215_4	CNAG_CRG	2	GBR	0	1
HG00133	ERR188189	HG00133.2.M_111216_2	CNAG_CRG	2	GBR	1	1
HG00134	ERR188338	HG00134.6.M_120119_6	UU	6	GBR	1	0
HG00135	ERR188133	HG00135.3.M_120202_8	MPIMG	3	GBR	1	0
HG00136	ERR188383	HG00136.4.M_120208_7	ICMB	4	GBR	1	1
HG00137	ERR188095	HG00137.6.M_120217_1	UU	6	GBR	1	1
HG00138	ERR188385	HG00138.5.M_120131_5	HMGU	5	GBR	1	1
HG00139	ERR188144	HG00139.7.M_120219_1	LUMC	7	GBR	1	1
HG00141	ERR188401	HG00141.5.M_120131_3	HMGU	5	GBR	1	1
HG00142	ERR188466	HG00142.4.M_120208_6	ICMB	4	GBR	1	1
HG00143	ERR188257	HG00143.7.M_120219_2	LUMC	7	GBR	1	1
HG00145	ERR188073	HG00145.6.M_120119_1	UU	6	GBR	0	1
HG00146	ERR188455	HG00146.2.M_111216_1	CNAG_CRG	2	GBR	1	1
HG00148	ERR188379	HG00148.3.M_120202_6	MPIMG	3	GBR	1	1
HG00149	ERR188065	HG00149.1.M_111124_6	UNIGE	1	GBR	1	1
HG00150	ERR188309	HG00150.4.M_120208_7	ICMB	4	GBR	1	1
HG00151	ERR188116	HG00151.3.M_120202_4	MPIMG	3	GBR	1	1
HG00152	ERR188084	HG00152.7.M_120219_3	LUMC	7	GBR	1	0
HG00154	ERR188468	HG00154.5.M_120131_7	HMGU	5	GBR	1	1
HG00155	ERR188028	HG00155.1.M_111124_2	UNIGE	1	GBR	1	1
HG00156	ERR188287	HG00156.4.M_120208_1	ICMB	4	GBR	1	0
HG00157	ERR188041	HG00157.5.M_120131_3	HMGU	5	GBR	0	1
HG00158	ERR188332	HG00158.1.M_111124_8	UNIGE	1	GBR	1	1
HG00159	ERR188164	HG00159.7.M_120219_6	LUMC	7	GBR	1	1
HG00160	ERR188387	HG00160.3.M_120202_1	MPIMG	3	GBR	1	1
HG00171	ERR188190	HG00171.3.M_120202_2	MPIMG	3	FIN	1	1
HG00173	ERR188445	HG00173.3.M_120202_1	MPIMG	3	FIN	1	1
HG00174	ERR188163	HG00174.4.M_120208_3	ICMB	4	FIN	1	1
HG00176	ERR188187	HG00176.4.M_120208_2	ICMB	4	FIN	1	1
HG00177	ERR188180	HG00177.4.M_120208_8	ICMB	4	FIN	1	1
HG00178	ERR188248	HG00178.4.M_120208_8	ICMB	4	FIN	1	1
HG00179	ERR188304	HG00179.1.M_111124_8	UNIGE	1	FIN	1	1
HG00180	ERR188146	HG00180.1.M_111124_8	UNIGE	1	FIN	1	1
HG00181	ERR188118	HG00181.4.M_120208_4	ICMB	4	FIN	0	1
HG00182	ERR188149	HG00182.1.M_111124_4	UNIGE	1	FIN	1	1
HG00183	ERR188302	HG00183.5.M_120131_5	HMGU	5	FIN	1	1
HG00185	ERR188320	HG00185.1.M_111124_5	UNIGE	1	FIN	1	1
HG00186	ERR188090	HG00186.3.M_120202_5	MPIMG	3	FIN	1	1
HG00187	ERR188425	HG00187.1.M_120209_2	UNIGE	1	FIN	1	1
HG00188	ERR188400	HG00188.1.M_111124_3	UNIGE	1	FIN	1	1
HG00189	ERR188361	HG00189.1.M_111124_5	UNIGE	1	FIN	1	1
HG00231	ERR188212	HG00231.2.M_111216_2	CNAG_CRG	2	GBR	1	1
HG00232	ERR188289	HG00232.7.M_120219_3	LUMC	7	GBR	1	1
HG00233	ERR188312	HG00233.2.M_111215_8	CNAG_CRG	2	GBR	1	1
HG00234	ERR188237	HG00234.7.M_120219_4	LUMC	7	GBR	1	1
HG00235	ERR188450	HG00235.1.M_111124_1	UNIGE	1	GBR	1	1
HG00236	ERR188036	HG00236.5.M_120131_5	HMGU	5	GBR	1	1
HG00238	ERR188333	HG00238.5.M_120131_5	HMGU	5	GBR	1	1
HG00239	ERR188112	HG00239.7.M_120219_4	LUMC	7	GBR	1	1
HG00240	ERR188370	HG00240.2.M_111215_5	CNAG_CRG	2	GBR	1	1
HG00242	ERR188053	HG00242.3.M_120202_7	MPIMG	3	GBR	1	1
HG00243	ERR188411	HG00243.4.M_120208_2	ICMB	4	GBR	1	1
HG00244	ERR188448	HG00244.5.M_120131_7	HMGU	5	GBR	1	1
HG00245	ERR188159	HG00245.4.M_120208_6	ICMB	4	GBR	1	1
HG00246	ERR188271	HG00246.7.M_120219_4	LUMC	7	GBR	1	1
HG00247	ERR188106	HG00247.3.M_120202_1	MPIMG	3	GBR	1	0
HG00249	ERR188456	HG00249.3.M_120202_4	MPIMG	3	GBR	1	0
HG00250	ERR188080	HG00250.1.M_111124_4	UNIGE	1	GBR	1	1
HG00251	ERR188154	HG00251.2.M_111216_8	CNAG_CRG	2	GBR	1	1
HG00252	ERR188464	HG00252.1.M_111124_5	UNIGE	1	GBR	1	1
HG00253	ERR188351	HG00253.5.M_120131_7	HMGU	5	GBR	1	1
HG00255	ERR188111	HG00255.2.M_111216_1	CNAG_CRG	2	GBR	1	1
HG00256	ERR188091	HG00256.2.M_111215_7	CNAG_CRG	2	GBR	1	1
HG00257	ERR188323	HG00257.4.M_120208_5	ICMB	4	GBR	1	1
HG00258	ERR188242	HG00258.1.M_111124_6	UNIGE	1	GBR	1	1
HG00259	ERR188378	HG00259.5.M_120131_3	HMGU	5	GBR	1	1
HG00260	ERR188185	HG00260.5.M_120131_7	HMGU	5	GBR	1	1
HG00261	ERR188130	HG00261.6.M_120119_2	UU	6	GBR	1	1
HG00262	ERR188057	HG00262.2.M_111215_8	CNAG_CRG	2	GBR	1	1
HG00263	ERR188070	HG00263.6.M_120119_3	UU	6	GBR	1	1
HG00264	ERR188366	HG00264.6.M_120119_5	UU	6	GBR	1	1
HG00265	ERR188222	HG00265.2.M_111215_4	CNAG_CRG	2	GBR	1	1
HG00266	ERR188267	HG00266.6.M_120119_3	UU	6	FIN	1	1
HG00267	ERR188355	HG00267.4.M_120208_6	ICMB	4	FIN	1	1
HG00268	ERR188117	HG00268.5.M_120131_3	HMGU	5	FIN	1	1
HG00269	ERR188238	HG00269.2.M_111216_7	CNAG_CRG	2	FIN	1	1
HG00271	ERR188397	HG00271.2.M_111215_7	CNAG_CRG	2	FIN	1	1
HG00272	ERR188250	HG00272.7.M_120219_7	LUMC	7	FIN	1	1
HG00273	ERR188034	HG00273.3.M_120202_7	MPIMG	3	FIN	1	1
HG00274	ERR188264	HG00274.6.M_120119_1	UU	6	FIN	1	1
HG00275	ERR188326	HG00275.4.M_120208_8	ICMB	4	FIN	1	1
HG00276	ERR188318	HG00276.2.M_111215_8	CNAG_CRG	2	FIN	1	1
HG00277	ERR188274	HG00277.3.M_120202_6	MPIMG	3	FIN	1	1
HG00278	ERR188230	HG00278.1.M_111124_5	UNIGE	1	FIN	1	1
HG00280	ERR188457	HG00280.1.M_111124_6	UNIGE	1	FIN	1	1
HG00281	ERR188263	HG00281.1.M_111124_3	UNIGE	1	FIN	1	1
HG00282	ERR188266	HG00282.2.M_111216_6	CNAG_CRG	2	FIN	1	1
HG00284	ERR188194	HG00284.1.M_111124_6	UNIGE	1	FIN	1	1
HG00285	ERR188083	HG00285.3.M_120202_5	MPIMG	3	FIN	1	1
HG00306	ERR188240	HG00306.1.M_111124_1	UNIGE	1	FIN	1	1
HG00308	ERR188482	HG00308.3.M_120202_3	MPIMG	3	FIN	0	1
HG00309	ERR188432	HG00309.7.M_120219_7	LUMC	7	FIN	1	1
HG00310	ERR188205	HG00310.4.M_120208_3	ICMB	4	FIN	1	1
HG00311	ERR188121	HG00311.4.M_120208_6	ICMB	4	FIN	1	1
HG00312	ERR188346	HG00312.7.M_120219_6	LUMC	7	FIN	1	0
HG00313	ERR188123	HG00313.2.M_111216_6	CNAG_CRG	2	FIN	1	1
HG00315	ERR188023	HG00315.2.M_111215_5	CNAG_CRG	2	FIN	1	1
HG00319	ERR188300	HG00319.4.M_120208_7	ICMB	4	FIN	1	1
HG00320	ERR188046	HG00320.1.M_111124_1	UNIGE	1	FIN	1	1
HG00321	ERR188045	HG00321.2.M_111216_2	CNAG_CRG	2	FIN	1	1
HG00323	ERR188255	HG00323.1.M_111124_4	UNIGE	1	FIN	1	1
HG00324	ERR188113	HG00324.1.M_111124_2	UNIGE	1	FIN	1	1
HG00325	ERR188218	HG00325.5.M_120131_1	HMGU	5	FIN	1	1
HG00326	ERR188418	HG00326.1.M_111124_7	UNIGE	1	FIN	1	1
HG00327	ERR188417	HG00327.3.M_120202_4	MPIMG	3	FIN	1	1
HG00328	ERR188341	HG00328.2.M_111215_4	CNAG_CRG	2	FIN	1	1
HG00329	ERR188439	HG00329.5.M_120131_3	HMGU	5	FIN	1	1
HG00330	ERR188296	HG00330.1.M_120209_2	UNIGE	1	FIN	1	1
HG00331	ERR188056	HG00331.7.M_120219_8	LUMC	7	FIN	1	1
HG00332	ERR188294	HG00332.6.M_120217_1	UU	6	FIN	1	1
HG00334	ERR188127	HG00334.2.M_111216_5	CNAG_CRG	2	FIN	1	1
HG00335	ERR188156	HG00335.2.M_111216_5	CNAG_CRG	2	FIN	1	1
HG00336	ERR188033	HG00336.1.M_120209_2	UNIGE	1	FIN	1	1
HG00337	ERR188098	HG00337.5.M_120131_5	HMGU	5	FIN	1	1
HG00338	ERR188169	HG00338.2.M_111215_8	CNAG_CRG	2	FIN	1	1
HG00339	ERR188321	HG00339.4.M_120208_1	ICMB	4	FIN	1	1
HG00341	ERR188197	HG00341.2.M_111216_7	CNAG_CRG	2	FIN	1	1
HG00342	ERR188270	HG00342.1.M_111124_1	UNIGE	1	FIN	1	1
HG00343	ERR188141	HG00343.1.M_111124_5	UNIGE	1	FIN	1	1
HG00344	ERR188473	HG00344.4.M_120208_2	ICMB	4	FIN	1	1
HG00345	ERR188038	HG00345.1.M_120209_1	UNIGE	1	FIN	1	1
HG00346	ERR188168	HG00346.2.M_120131_1	CNAG_CRG	2	FIN	1	1
HG00349	ERR188075	HG00349.4.M_120208_4	ICMB	4	FIN	1	1
HG00350	ERR188031	HG00350.3.M_120202_3	MPIMG	3	FIN	1	1
HG00351	ERR188124	HG00351.6.M_120119_5	UU	6	FIN	1	1
HG00353	ERR188340	HG00353.1.M_111124_6	UNIGE	1	FIN	1	1
HG00355	ERR188029	HG00355.2.M_111215_6	CNAG_CRG	2	FIN	1	1
HG00356	ERR188241	HG00356.2.M_111215_6	CNAG_CRG	2	FIN	1	1
HG00358	ERR188089	HG00358.5.M_120131_5	HMGU	5	FIN	1	1
HG00359	ERR188175	HG00359.1.M_111124_6	UNIGE	1	FIN	1	0
HG00360	ERR188374	HG00360.3.M_120202_8	MPIMG	3	FIN	1	1
HG00361	ERR188215	HG00361.7.M_120219_5	LUMC	7	FIN	1	1
HG00362	ERR188480	HG00362.3.M_120202_2	MPIMG	3	FIN	1	1
HG00364	ERR188303	HG00364.2.M_111215_8	CNAG_CRG	2	FIN	1	1
HG00365	ERR188395	HG00365.7.M_120219_5	LUMC	7	FIN	0	1
HG00366	ERR188150	HG00366.4.M_120208_1	ICMB	4	FIN	1	1
HG00367	ERR188358	HG00367.2.M_120131_1	CNAG_CRG	2	FIN	1	1
HG00369	ERR188260	HG00369.5.M_120131_1	HMGU	5	FIN	1	1
HG00371	ERR188362	HG00371.1.M_111124_3	UNIGE	1	FIN	0	1
HG00372	ERR188078	HG00372.4.M_120208_3	ICMB	4	FIN	1	1
HG00373	ERR188198	HG00373.2.M_111215_6	CNAG_CRG	2	FIN	1	1
HG00375	ERR188462	HG00375.4.M_120208_4	ICMB	4	FIN	1	1
